4871.archive|DLT206 + mss
8414.hpss.size|1136263168
8534.hpss.date|968412540
8634.hpss.filename|r8634.evt
8689.hpss.filename|r8689.evt
7792.hpss.filename|r7792.itape
7984.jlab.jcache.filename|r7984.evt
8138.jlab.jcache.filename|r8138.evt
8178.jlab.jcache.size|958398464
8401.jlab.jcache.date|971211000
8699.jlab.jcache.filename|r8699.evt
8340.jlab.scratch.date|964657440
8205.uconn.pvfs0.size|949657600
8044.jlab.jcache.filename|r8044.evt
8309.uconn.pvfs1.filename|r8309
8211.jlab.jcache.size|1572864
8403.uconn.pvfs1.date|972577500
8714.jlab.jcache.filename|r8714.evt
8406.uconn.pvfs1.filename|r8406
8392.uconn.pvfs1.filename|r8392
8397.uconn.pvfs1.date|972586380
7662.uconn.pvfs0.size|334489944
7965.uconn.pvfs0.filename|r7965
8018.uconn.pvfs0.filename|r8018
8671.uconn.pvfs1.size|28285096
7644.epics.bpm_1_i|0.043
7654.epics.C slit position|8.00
7700.epics.bpm_1_x|-17.371
7717.epics.beam current|-0.034
7720.epics.tagger voltage|106.00
7738.epics.Halo R upstream|3653
7758.epics.B slit position|17.00
7762.epics.beam current|0.034
7788.epics.beam current|0.046
7804.epics.bpm_2_x|-0.685
7810.epics.beam current|0.009
7832.epics.Radiator D|0.00
7851.epics.Helium pressure|0.79
7854.epics.Radiator out|0
7857.epics.B slit position|17.00
7868.epics.beam energy|5653
7871.epics.bpm_2_x|-0.603
7880.epics.Halo D upstream|10444
7886.epics.beam energy|5653
7908.epics.TimeStamp|Fri Jun  2 06
7920.epics.Radiator out|0
7923.epics.B slit position|17.00
7933.epics.A slit position|-1.00
7946.epics.A slit position|-1.00
7954.epics.Halo R upstream|914
7965.epics.tagger current|2046.66
7971.epics.bpm_2_y|0.000
7977.epics.Tagger dump R|0
7989.epics.Halo D upstream|10790
7990.epics.Helium pressure|0.68
7995.epics.Radiator out|0
7996.epics.B slit position|17.43
8006.epics.Radiator D|0.00
8011.epics.Halo U upstream|11
8018.epics.tagger current|0.00
8026.epics.bpm_2_y|0.000
8030.epics.bpm_2_x|0.000
8049.epics.Halo D upstream|0
8050.epics.Helium pressure|0.75
8055.epics.Radiator out|0
8056.epics.B slit position|-1.22
8073.epics.Radiator D|0.00
8086.epics.A slit position|-1.00
8094.epics.Halo R upstream|844
8104.epics.Master OR|22296210
8118.epics.A slit position|-1.00
8129.epics.Radiator out|0
8133.epics.beam energy|5653
8140.epics.Halo D upstream|12214
8176.epics.bpm_1_x|-1.447
8191.epics.Helium pressure|0.57
8194.epics.Radiator out|0
8197.epics.B slit position|15.60
8201.epics.Radiator C|0.00
8215.epics.Radiator B|0.00
8215.epics.Tagger dump L|0
8227.epics.bpm_1_i|0.000
8260.epics.Radiator B|0.00
8260.epics.Tagger dump L|10415
8279.epics.beam current|76.278
8290.epics.Master OR|18
8306.epics.Halo L upstream|771
8314.epics.TimeStamp|Wed Jun 21 06
8318.epics.bpm_2_i|75.517
8329.epics.C slit position|-1.00
8342.epics.Tagger dump U|0
8361.epics.TimeStamp|Sat Jun 24 05
8371.epics.bpm_1_y|0.554
8377.epics.Radiator A|1.00
8409.epics.Halo L upstream|850
8424.epics.A slit position|-1.00
8432.epics.Halo R upstream|729
8450.epics.tagger current|0.00
8459.epics.Halo U upstream|12963
8463.epics.Radiator A|0.00
8465.epics.bpm_1_y|1.331
8468.epics.Tagger dump R|0
8471.epics.bpm_2_i|0.000
8483.epics.Helium pressure|0.76
8491.epics.A slit position|-1.00
8508.epics.Halo D upstream|9922
8513.epics.bpm_2_x|-0.523
8527.epics.bpm_2_y|0.366
8547.epics.Radiator D|0.00
8550.epics.A slit position|-1.00
8561.epics.Radiator out|0
8562.epics.B slit position|16.75
8564.epics.Helium pressure|0.66
8591.epics.beam energy|5653
8597.epics.Halo D upstream|10788
8603.epics.Halo D upstream|10241
8642.epics.Radiator B|0.00
8642.epics.Tagger dump L|867
8648.epics.bpm_1_x|-0.881
8669.epics.Tagger dump U|0
8672.epics.Master OR|28044087
8687.epics.bpm_2_x|0.004
8692.epics.beam energy|5653
8694.epics.Halo D upstream|23
8700.epics.Helium pressure|0.55
8705.epics.Radiator out|0
8706.epics.B slit position|16.75
8719.epics.Halo D upstream|18
7491.timecorr|123.754112
7617.timecorr|646.210205
7662.timecorr|634.076843
8205.timecorr|2713.16528
8678.timecorr|2424.36377
7758.time|3413.70801
7857.time|3129.89746
7923.time|1669.52014
7996.time|2885.38818
8056.time|685.240173
8197.time|5945.99561
8485.time|5603.37158
8562.time|5613.12744
8706.time|8211.78125
4849.trigger|MAM.ge.0x15
4890.energy|4 GeV
5067.filename|r5067.evt
5145.energy|4 GeV
5214.filename|r5214.evt
5260.date|898355640
5318.archive|mss
5337.size|233 Mb
5387.date|898626480
5441.comment| 
5512.energy|4 GeV
5567.energy|4 GeV
5628.date|899235060
6214.archive|mss
6227.trigger|mam thresh 0
6242.comment|
6443.trigger|no mam
6479.filename|r6479.evt
6481.energy|5.5 GeV
6512.comment|beam at about 35 nA
6577.trigger|Standard Data
6607.date|932959140
6698.archive|mss
6721.filename|r6721.evt
6794.filename|r6794.evt
7222.archive|mss
7242.trigger|Standard Data
7309.energy|5.65 GeV
7499.archive|mss
7507.archive|mss
7512.trigger|Standard Data
7537.comment|
7572.archive|mss
7589.trigger|Standard Data
7684.archive|mss
7703.trigger|Standard Data
7739.filename|r7739.evt
7756.energy|5.65 GeV
7793.comment|
7859.energy|5.65 GeV
7894.comment|
7955.filename|r7955.evt
7998.energy|5.65 GeV
8058.energy|no beam
8095.filename|r8095.evt
8106.archive|mss + hpss
8124.energy|5.65 GeV
8154.comment|problems with trigger
8175.trigger|Standard Data
8199.energy|5.65 GeV
8240.comment|cosmics
8269.trigger|minimum bias
8292.archive|mss + hpss
8301.size|3.5 Mb
8371.date|961895460
8433.filename|r8433.evt
8446.filename|r8446.evt
8465.date|963392820
8582.energy|5.65 GeV
8635.comment|
8670.archive|mss
8688.comment|
8708.energy|5.65 GeV
7550.energy|5.65 GeV
7427.uconn.pvfs0.size|439968144
7552.uconn.pvfs0.date|970809900
7643.uconn.pvfs0.size|171873004
7754.uconn.pvfs0.date|970861260
7834.uconn.pvfs0.filename|r7834
7902.hpss.filename|r7902.itape
8104.hpss.date|971173740
8290.hpss.date|971740560
8342.uconn.pvfs1.size|945758208
8477.hpss.filename|r8477.evt
8501.uconn.pvfs1.date|971409180
8622.hpss.size|1115422720
8657.hpss.size|1117650944
8676.uconn.pvfs1.filename|r8676
7995.jlab.jcache.date|971457360
8129.jlab.jcache.date|971207100
8194.jlab.jcache.date|972139980
8486.jlab.jcache.date|972139740
8641.jlab.jcache.size|1122107392
8689.jlab.jcache.filename|r8689.evt
8705.jlab.jcache.date|971381280
8716.jlab.scratch.date|965124660
8000.uconn.pvfs0.filename|r8000
7518.jlab.jcache.size|414711808
7536.jlab.jcache.filename|r7536.evt
8055.jlab.jcache.date|972574200
8216.jlab.jcache.size|2883584
8241.jlab.jcache.filename|r8241.evt
8669.uconn.pvfs1.size|468258816
8710.uconn.pvfs1.date|972615780
8075.uconn.pvfs0.filename|r8075
8126.uconn.pvfs0.date|972666660
8220.uconn.pvfs0.size|0
8574.uconn.pvfs1.date|972666300
7656.epics.beam energy|5653
7661.epics.Halo D upstream|41048
7700.epics.bpm_1_y|-8.238
7712.epics.A slit position|-1.00
7741.epics.Halo U upstream|40308
7767.epics.A slit position|-1.00
7804.epics.bpm_2_y|0.208
7815.epics.A slit position|-1.00
7826.epics.TimeStamp|Wed May 31 00
7827.epics.tagger current|2046.66
7839.epics.Tagger dump L|133909
7842.epics.Tagger dump R|1731990
7848.epics.Radiator out|0
7864.epics.Halo U upstream|10067
7871.epics.bpm_2_y|0.200
7872.epics.Helium pressure|0.87
7898.epics.Helium pressure|0.73
7916.epics.beam current|0.008
7934.epics.Radiator out|0
7937.epics.Radiator A|0.00
7937.epics.bpm_1_i|128.045
7941.epics.Radiator out|131.689
7942.epics.Radiator A|0.00
7942.epics.bpm_1_i|131.694
7956.epics.Tagger dump L|63229
7971.epics.B slit position|17.43
7971.epics.bpm_2_x|0.000
7983.epics.Halo U upstream|10073
8012.epics.TimeStamp|Mon Jun  5 05
8013.epics.tagger current|2046.66
8026.epics.B slit position|8.00
8026.epics.bpm_2_x|0.000
8027.epics.C slit position|8.00
8030.epics.bpm_2_y|0.000
8033.epics.Helium pressure|0.11
8043.epics.Halo U upstream|0
7553.timecorr|0.
8061.epics.Tagger dump R|0
8068.epics.Radiator A|0.00
8068.epics.bpm_1_i|0.000
8078.epics.Tagger dump L|36641
8081.epics.Radiator out|0
8082.epics.Radiator A|0.00
8082.epics.bpm_1_i|127.744
8096.epics.Tagger dump L|34206
8115.epics.Tagger dump R|8
8127.epics.Master OR|2009452
8158.epics.Helium pressure|0.57
8160.epics.A slit position|-1.00
8176.epics.bpm_1_y|0.579
8182.epics.Tagger dump R|638670
8188.epics.Radiator out|0
8201.epics.Radiator B|0.00
8206.epics.Halo D upstream|11168
8215.epics.Radiator C|0.00
8253.epics.beam energy|5653
8260.epics.Radiator C|0.00
8299.epics.Halo D upstream|8
8307.epics.Halo L upstream|458
8310.epics.Tagger dump U|0
8323.epics.Halo R upstream|975
8337.epics.bpm_2_i|77.146
8365.epics.Tagger dump U|0
8371.epics.bpm_1_x|-1.448
8405.epics.beam current|77.067
8408.epics.Halo L upstream|921
8420.epics.Radiator A|1.00
8420.epics.bpm_1_i|74.425
8423.epics.Radiator out|0
8430.epics.Tagger dump L|2638
8445.epics.Tagger dump L|2348
8465.epics.bpm_1_x|-1.838
8479.epics.Tagger dump U|0
8495.epics.Radiator A|1.00
8495.epics.bpm_1_i|75.199
8496.epics.Radiator out|0
8502.epics.Halo U upstream|11439
8510.epics.Helium pressure|0.49
8513.epics.bpm_2_y|0.155
8526.epics.C slit position|-1.00
8527.epics.B slit position|16.78
8527.epics.bpm_2_x|0.071
8534.epics.tagger current|2045.00
8557.epics.Radiator out|0
8577.epics.Halo U upstream|29491
8581.epics.Master OR|27757819
8639.epics.Helium pressure|0.51
8642.epics.Radiator C|0.00
8648.epics.bpm_1_y|0.322
8684.epics.Helium pressure|0.54
8687.epics.bpm_2_y|0.125
8713.epics.Halo U upstream|23386
7755.timecorr|1394.97864
8127.timecorr|89.5379486
8488.timecorr|0.
8581.timecorr|3409.68774
7735.time|1675.09937
7836.time|3172.28784
7959.time|2677.39868
8002.time|0.
8077.time|1219.79956
8099.time|0.
8543.time|5810.97461
5428.trigger|Standard Data
4653.energy|2.4 GeV
4900.comment|production 
5044.filename|r5044.evt
5049.date|897553500
5096.trigger|Standard Data
5137.archive|mss
5233.filename|r5233.evt
5351.date|898577940
5434.energy|4 GeV
5468.comment|50nA 
5489.energy|4 GeV
5596.size|253 Mb
5602.size|390 Mb
5656.archive|mss
6268.trigger|Standard Data
6332.date|932258040
6473.archive|mss
6632.filename|r6632.evt
6663.comment|DOR set to 170
7151.trigger|cosmic
7156.comment|voltage scan on LGD at 1900v--prestart failed fb3--attempt reset and restart--did not work--can't start another run
7299.comment|DAQ problems (fb3, fb2)
7429.trigger|Standard Data
7450.date|959163240
7502.energy|5.65 GeV
7577.energy|5.65 GeV
7623.date|959414700
7681.energy|5.65 GeV
7733.archive|mss
7745.size|1041.2 Mb
7860.size|91.4 Mb
7987.size|920.2 Mb
8004.archive|mss + hpss
8047.size|128.0 Kb
8071.archive|mss
8103.energy|5.65 GeV
8208.energy|5.65 GeV
8229.comment|botched
8297.energy|5.65 GeV
8334.date|961690620
8339.filename|r8339.evt
8351.comment|beam tuning after long down time
8356.trigger|Standard Data
8389.date|962056560
8410.filename|r8410.evt
8439.archive|mss + hpss
8506.size|1090.5 Mb
8545.archive|mss
8573.size|256.5 Mb
8599.size|1075.7 Mb
8675.energy|5.65 GeV
8717.size|0 b
8721.archive|mss
4828.energy|4 GeV
7462.uconn.pvfs0.size|404878692
7545.uconn.pvfs0.filename|r7545
7596.uconn.pvfs0.size|338307124
7633.uconn.pvfs0.size|103620328
7718.uconn.pvfs0.size|335617392
7779.hpss.date|972079380
7787.uconn.pvfs0.size|827826016
7797.hpss.date|972231180
7839.hpss.size|1157103616
7952.hpss.filename|r7952.evt
7956.hpss.size|574619648
8009.hpss.filename|r8009.evt
8078.hpss.size|740687872
8092.hpss.filename|r8092.evt
8096.hpss.size|1125908480
8430.hpss.size|1131282432
8441.hpss.filename|r8441.evt
8445.hpss.size|1145307136
8518.hpss.date|968778780
8548.hpss.filename|r8548.evt
7884.uconn.pvfs0.filename|r7884
7911.jlab.jcache.filename|r7911.evt
7986.jlab.jcache.size|962330624
8396.jlab.jcache.filename|r8396.evt
8131.uconn.pvfs0.filename|r8131
8144.uconn.pvfs0.filename|r8144
8276.uconn.pvfs0.size|755773440
8046.jlab.jcache.size|5898240
8310.uconn.pvfs1.filename|r8310
8716.jlab.jcache.size|137494528
8365.uconn.pvfs1.filename|r8365
8368.uconn.pvfs1.date|972583140
8474.uconn.pvfs1.date|972590940
8479.uconn.pvfs1.filename|r8479
7651.epics.beam energy|5653
7657.epics.Halo L upstream|82
7661.epics.thermionic gun|-50.000
7726.epics.bpm_2_i|129.624
7728.epics.beam current|0.027
7780.epics.tagger voltage|106.00
7791.epics.A slit position|-1.00
7794.epics.bpm_1_y|-8.272
7812.epics.Radiator out|0
7824.epics.bpm_2_x|-0.663
7832.epics.Radiator B|1.00
7842.epics.Tagger dump U|1503905
7843.epics.bpm_2_i|128.742
7853.epics.tagger current|2046.66
7879.epics.bpm_1_y|0.592
7893.epics.bpm_1_y|0.593
7916.epics.Halo R upstream|0
7918.epics.Master OR|2674
7919.epics.Tagger dump L|1027359
7927.epics.tagger current|2046.66
7931.epics.beam current|131.425
7944.epics.beam current|129.963
7973.epics.bpm_2_y|0.210
7992.epics.tagger current|2046.66
8006.epics.Radiator B|1.00
8010.epics.bpm_2_x|-0.603
8011.epics.TimeStamp|Mon Jun  5 04
8024.epics.bpm_2_y|0.000
8038.epics.bpm_1_y|0.000
8060.epics.bpm_2_i|0.000
8061.epics.Tagger dump U|0
8073.epics.Radiator B|1.00
8084.epics.beam current|132.151
8115.epics.Tagger dump U|0
8153.epics.bpm_1_y|0.544
8156.epics.A slit position|8.00
8167.epics.Radiator out|0
8174.epics.bpm_1_x|-1.462
8175.epics.Helium pressure|0.74
8182.epics.Tagger dump U|0
8183.epics.bpm_2_i|132.352
8193.epics.tagger current|2046.66
8215.epics.Radiator D|0.00
7574.timecorr|0.
8242.epics.A slit position|-1.00
8247.epics.bpm_1_y|0.000
8252.epics.Halo L upstream|770
8254.epics.beam energy|5653
8260.epics.Radiator D|0.00
8268.epics.bpm_1_x|-1.467
8269.epics.Helium pressure|0.60
8285.epics.Radiator A|1.00
8301.epics.C slit position|8.00
8304.epics.Master OR|516324
8305.epics.Tagger dump L|6367
8310.epics.Tagger dump R|398442
8336.epics.Halo U upstream|10409
8348.epics.Radiator A|1.00
8357.epics.B slit position|16.56
8365.epics.Tagger dump R|260575
8378.epics.bpm_2_y|0.128
8380.epics.Halo D upstream|11504
8382.epics.bpm_1_i|0.000
8405.epics.Halo R upstream|765
8414.epics.Halo D upstream|11399
8416.epics.bpm_1_i|74.700
8459.epics.TimeStamp|Tue Jul 11 16
8479.epics.Tagger dump R|191539
8481.epics.tagger current|2045.00
8493.epics.beam current|78.024
8537.epics.bpm_2_x|0.002
8547.epics.Radiator B|0.00
8552.epics.beam current|76.739
8566.epics.tagger current|2045.00
8628.epics.Radiator out|0
8632.epics.bpm_1_y|0.545
8637.epics.A slit position|-1.00
8642.epics.Radiator D|0.00
8663.epics.Radiator A|1.00
8702.epics.tagger current|2045.00
7501.timecorr|704.611206
7619.timecorr|427.721436
7682.timecorr|716.93927
8100.timecorr|0.
8294.timecorr|718.64093
8676.timecorr|3311.30005
7727.time|1437.10974
7842.time|950.55011
8061.time|1918.48767
8115.time|958.150024
8182.time|509.859985
8429.time|4992.28857
4830.date|892530600
4845.date|892554480
4853.filename|r4853.evt
4884.comment|production; unsteady beam 
4901.size|395 Mb
5080.trigger|Standard Data
5090.size|82 Mb
5375.size|252 Mb
5424.date|898697220
5446.archive|mss
5454.filename|r5454.evt
5502.comment|cosmic run by rubin. 
5609.comment| 
6231.filename|r6231.evt
6245.archive|mss
6257.comment|
6296.date|932118180
6306.trigger|Standard Data
6357.energy|none
6662.size|128.0 Kb
7192.date|958821720
7214.comment|beam is off
7419.trigger|Standard Data
7467.filename|r7467.evt
7471.date|959217840
7544.comment|pedestal on 1 Hz--Radiator B is to be used for production from now on
7585.date|959335560
7593.filename|r7593.evt
7606.date|959398740
7636.filename|r7636.evt
7675.trigger|Standard Data
7768.filename|r7768.evt
7782.filename|r7782.evt
7794.archive|mss + hpss
7879.archive|mss + hpss
7885.comment|
7893.archive|mss + hpss
8038.archive|mss
8130.comment|
8145.comment|
8153.archive|mss + hpss
8179.date|961014960
8210.date|961191000
8228.size|1077.0 Mb
8238.trigger|Standard Data
8247.archive|mss
8265.date|961381860
8273.filename|r8273.evt
8306.energy|5.65 GeV
8340.trigger|min bias
8350.size|690.6 Mb
8409.energy|5.65 GeV
8578.comment|
8592.comment|Cosmics during DOE tour
8606.comment|
8620.filename|r8620.evt
8632.archive|mss + hpss
8647.date|964601040
8655.filename|r8655.evt
8691.comment|
5119.filename|r5119.evt
7525.uconn.pvfs0.date|970781160
7598.uconn.pvfs0.date|970656780
7716.uconn.pvfs0.date|970825560
7739.uconn.pvfs0.filename|r7739
7756.hpss.date|972066900
7763.uconn.pvfs0.date|970874280
7789.uconn.pvfs0.date|971020620
7825.uconn.pvfs0.size|152
7859.hpss.date|972238500
7885.hpss.filename|r7885.evt
7939.hpss.size|642457600
7998.hpss.date|972140100
8112.hpss.size|409731072
8130.hpss.filename|r8130.evt
8145.hpss.filename|r8145.evt
8185.hpss.size|962723840
8199.hpss.date|970600140
8578.hpss.filename|r8578.evt
8582.hpss.date|968661960
8606.hpss.filename|r8606.evt
8649.uconn.pvfs1.size|939876352
8691.hpss.filename|r8691.evt
8708.hpss.date|971778060
7955.uconn.pvfs0.filename|r7955
7849.jlab.jcache.date|971894400
7978.jlab.jcache.size|965607424
8080.jlab.jcache.date|972139740
8373.jlab.jcache.size|1137573888
8011.uconn.pvfs0.size|897597440
8095.uconn.pvfs0.filename|r8095
8164.uconn.pvfs0.date|972516300
8278.uconn.pvfs0.date|972567180
8323.uconn.pvfs1.date|972577080
8467.jlab.jcache.size|4325376
8497.jlab.jcache.date|972575580
7677.jlab.jcache.filename|r7677.evt
8546.uconn.pvfs1.filename|r8546
7647.epics.bpm_1_i|0.070
7695.epics.Halo U upstream|36835
7723.epics.thermionic gun|-50.000
7742.epics.Halo R upstream|3664
7752.epics.bpm_2_i|131.027
7794.epics.bpm_1_x|17.265
7806.epics.beam current|0.040
7820.epics.TimeStamp|Tue May 30 19
7824.epics.bpm_2_y|0.221
7832.epics.Radiator C|0.00
7852.epics.beam energy|5653
7854.epics.Halo D upstream|10511
7865.epics.Master OR|23255639
7867.epics.Halo R upstream|921
7873.epics.beam current|0.008
7879.epics.bpm_1_x|-1.403
7889.epics.Halo R upstream|935
7893.epics.bpm_1_x|-1.421
7899.epics.beam current|130.757
7900.epics.Helium pressure|1.02
7915.epics.B slit position|17.00
7915.epics.tagger current|2046.66
7920.epics.Halo D upstream|7
7926.epics.beam energy|5653
7929.epics.bpm_2_i|130.664
7936.epics.Tagger dump L|82894
7943.epics.Tagger dump L|78200
7950.epics.C slit position|8.00
7963.epics.A slit position|-1.00
7969.epics.TimeStamp|Sun Jun  4 00
7973.epics.bpm_2_x|-0.598
7977.epics.Tagger dump U|0
7980.epics.Halo R upstream|883
7982.epics.Master OR|21428532
7993.epics.beam energy|5653
7995.epics.Halo D upstream|10965
8006.epics.Radiator C|0.00
8010.epics.bpm_2_y|0.226
8014.epics.TimeStamp|Mon Jun  5 07
8024.epics.bpm_2_x|0.000
8032.epics.beam current|0.007
8038.epics.bpm_1_x|0.000
8042.epics.Master OR|18
8053.epics.beam energy|5653
8055.epics.Halo D upstream|4
8069.epics.Tagger dump L|3
8073.epics.Radiator C|0.00
8083.epics.Tagger dump L|44086
8090.epics.C slit position|-1.00
8129.epics.Halo D upstream|10143
8153.epics.bpm_1_x|-1.456
8159.epics.beam current|0.008
8174.epics.bpm_1_y|0.538
8192.epics.beam energy|5653
8194.epics.Halo D upstream|9569
8201.epics.Radiator D|0.00
8220.epics.Radiator A|1.00
8224.epics.bpm_1_i|74.853
8232.epics.Halo U upstream|10137
8247.epics.bpm_1_x|0.000
8268.epics.bpm_1_y|0.561
8285.epics.Radiator out|0
8287.epics.Halo U upstream|10299
8309.epics.B slit position|16.42
8309.epics.tagger current|2046.66
8342.epics.Tagger dump R|268211
8348.epics.Radiator out|0
8358.epics.Radiator A|1.00
8369.epics.Helium pressure|0.50
8378.epics.bpm_2_x|0.023
8381.epics.Halo L upstream|844
8392.epics.B slit position|16.76
8392.epics.tagger current|2046.66
8406.epics.B slit position|16.54
8406.epics.tagger current|2046.66
8415.epics.Halo L upstream|829
8421.epics.Tagger dump L|2401
8436.epics.C slit position|-1.00
8443.epics.C slit position|-1.00
8456.epics.A slit position|-1.00
8468.epics.Tagger dump U|0
8475.epics.Helium pressure|0.61
8480.epics.beam energy|5653
8494.epics.Tagger dump L|1432
8501.epics.Halo R upstream|1001
8503.epics.Master OR|25328432
8511.epics.beam current|0.005
8533.epics.TimeStamp|Mon Jul 17 11
8537.epics.bpm_2_y|0.163
8539.epics.A slit position|-1.00
8547.epics.Radiator C|0.00
8555.epics.Tagger dump L|671
8561.epics.Halo D upstream|9645
8567.epics.beam energy|5653
8568.epics.bpm_2_i|0.000
8574.epics.Halo R upstream|21
8576.epics.Master OR|16
8586.epics.bpm_2_i|0.000
8632.epics.bpm_1_x|-1.376
8638.epics.beam current|0.004
8661.epics.Halo U upstream|23442
8663.epics.Radiator out|0
8669.epics.Tagger dump R|25130
8685.epics.beam current|76.959
8703.epics.beam energy|5653
8705.epics.Halo D upstream|21900
8710.epics.Halo R upstream|0
8712.epics.Master OR|27288655
7649.timecorr|706.215149
8352.timecorr|1.01696789
7962.time|2425.39941
8457.time|0.
8538.time|5494.14209
5303.trigger|Standard Data
4805.filename|r4805.evt
4882.archive|DLT206 + mss
5076.trigger|No RPD, MAM at 0x10
5199.energy|none
5202.comment|cosmic Runs 
5205.energy|4 GeV
5217.size|98 Mb
5227.trigger|Standard Data
5252.date|898333320
5270.energy|4 GeV
5378.filename|r5378.evt
5393.date|898636740
5504.archive|mss
5638.energy|4 GeV
6251.archive|mss
6317.filename|r6317.evt
6613.date|932971860
6676.comment|Back to default trigger
6722.size|195.9 Mb
6782.comment|125 nA
6785.energy|5.5 GeV
6797.size|80.8 Mb
7212.archive|mss
7369.size|294.4 Mb
7378.comment|
7422.filename|r7422.evt
7438.trigger|Standard Data
7485.date|959224920
7646.filename|r7646.evt
7748.archive|mss + hpss
7828.comment|
7839.size|1103.5 Mb
7883.archive|mss + hpss
7908.date|960023040
7956.size|548.0 Mb
8078.size|706.1 Mb
8096.size|1073.6 Mb
8136.archive|mss
8143.archive|mss + hpss
8225.filename|r8225.evt
8259.trigger|Standard Data
8314.date|961589760
8321.trigger|Standard Data
8361.date|961842840
8430.size|1078.5 Mb
8445.size|1092.1 Mb
8453.energy|no beam
8454.comment|cosmics
8594.archive|mss + hpss
8600.archive|mss + hpss
8610.filename|r8610.evt
8697.archive|mss + hpss
7542.archive|mss
5109.comment|still low current tests
7727.uconn.pvfs0.size|329942396
7842.uconn.pvfs0.size|160053200
7854.uconn.pvfs0.date|971060400
7920.uconn.pvfs0.date|971160420
7932.uconn.pvfs0.filename|r7932
7947.uconn.pvfs0.filename|r7947
8286.hpss.date|971510940
8313.hpss.filename|r8313.evt
8366.hpss.filename|r8366.evt
8577.hpss.size|1123811328
8609.hpss.size|1119879168
8660.hpss.date|970079220
8675.uconn.pvfs1.size|931274752
7983.hpss.size|963641344
8233.hpss.date|972277500
8713.hpss.size|629538816
8361.jlab.jcache.filename|r8361.evt
8382.jlab.jcache.date|972142980
8390.jlab.jcache.size|716521472
8404.jlab.jcache.size|1136132096
8573.jlab.scratch.date|964111920
7995.uconn.pvfs0.date|972503280
8087.uconn.pvfs0.filename|r8087
8119.uconn.pvfs0.filename|r8119
8129.uconn.pvfs0.date|972514140
8182.uconn.pvfs0.size|57974784
8194.uconn.pvfs0.date|972519960
8341.uconn.pvfs1.filename|r8341
8542.uconn.pvfs1.date|972603060
8055.uconn.pvfs0.date|972666540
8061.uconn.pvfs0.size|0
8115.uconn.pvfs0.size|0
7664.epics.Halo L upstream|73
7695.epics.bpm_2_x|-0.547
7697.epics.beam energy|5653
7704.epics.bpm_1_x|0.000
7718.epics.B slit position|17.00
7726.epics.thermionic gun|-50.000
7759.epics.tagger voltage|105.60
7768.epics.TimeStamp|Mon May 29 04
7774.epics.bpm_1_y|-11.114
7782.epics.TimeStamp|Mon May 29 12
7787.epics.B slit position|17.00
7802.epics.bpm_1_y|-9.076
7828.epics.bpm_1_i|129.572
7891.epics.Helium pressure|0.76
7900.epics.bpm_2_i|130.198
7902.epics.Halo U upstream|9985
7931.epics.Tagger dump L|92317
7932.epics.tagger current|2046.66
7937.epics.Radiator D|0.00
7942.epics.Radiator D|0.00
7944.epics.Tagger dump L|70781
7947.epics.tagger current|2046.66
7951.epics.Tagger dump R|1098697
7964.epics.A slit position|-1.00
7975.epics.bpm_2_y|0.000
8019.epics.A slit position|8.00
8022.epics.bpm_2_y|0.000
8036.epics.bpm_1_y|0.000
8068.epics.Radiator D|0.00
8082.epics.Radiator D|0.00
8084.epics.Tagger dump L|32268
8087.epics.tagger current|2046.66
8091.epics.Tagger dump R|813394
8108.epics.Halo L upstream|744
8119.epics.tagger current|2046.66
8151.epics.Helium pressure|0.82
8161.epics.Radiator out|0
8172.epics.bpm_1_x|-1.517
8203.epics.Halo L upstream|755
8220.epics.Radiator B|0.00
8222.epics.beam current|50.418
8232.epics.bpm_2_x|-0.549
8245.epics.Helium pressure|0.60
8249.epics.bpm_1_y|0.540
8273.epics.TimeStamp|Mon Jun 19 03
8276.epics.B slit position|16.33
8285.epics.Radiator C|0.00
8285.epics.beam energy|5653
8287.epics.bpm_2_x|-0.535
8302.epics.Halo D upstream|5
8335.epics.Halo R upstream|992
8337.epics.Master OR|29432993
8348.epics.Radiator C|0.00
8348.epics.beam energy|5653
8355.epics.Tagger dump U|0
8358.epics.Radiator B|0.00
8369.epics.bpm_2_i|75.512
8388.epics.Halo R upstream|387
8399.epics.Halo D upstream|11
8413.epics.C slit position|-1.00
8420.epics.Radiator D|0.00
8437.epics.Tagger dump R|130063
8442.epics.Tagger dump R|123295
8451.epics.A slit position|-1.00
8454.epics.bpm_1_i|0.000
8475.epics.bpm_2_i|77.200
8477.epics.Halo U upstream|11275
8493.epics.Tagger dump L|1438
8495.epics.Radiator D|0.00
8552.epics.Tagger dump L|761
8617.epics.beam current|80.104
8618.epics.Tagger dump U|0
8620.epics.TimeStamp|Sun Jul 23 20
8625.epics.B slit position|16.75
8630.epics.Helium pressure|0.54
8650.epics.B slit position|16.75
8655.epics.TimeStamp|Wed Jul 26 20
8661.epics.bpm_2_x|0.010
8663.epics.Radiator C|0.00
8663.epics.beam energy|5653
8681.epics.bpm_1_y|0.557
7482.timecorr|0.
8313.timecorr|2608.77686
8366.timecorr|2631.07227
7462.time|1322.57996
7596.time|1813.79993
7633.time|1875.02722
7718.time|3862.7981
7787.time|3212.84863
8276.time|4736.82715
8625.time|7946.60254
8650.time|14117.1133
6653.trigger|Standard Data
4652.energy|2.4 GeV
4851.filename|r4851.evt
4902.date|892747080
5027.comment|60 nA 
5093.date|897736860
