4871.archive|DLT206 + mss
7910.hpss.filename|r7910.itape
8133.hpss.size|735051776
8397.hpss.filename|r8397.evt
8605.hpss.size|314179584
8209.uconn.pvfs0.filename|r8209
8248.uconn.pvfs0.date|971371800
8022.jlab.jcache.size|63307776
8157.jlab.jcache.date|972574860
7975.jlab.jcache.size|11927552
8689.uconn.pvfs1.date|972602160
8102.uconn.pvfs0.filename|r8102
8455.uconn.pvfs1.size|517868
7655.epics.B slit position|17.00
7667.epics.Halo U upstream|39091
7680.epics.tagger current|2046.66
7689.epics.Halo U upstream|39485
7697.epics.Halo R upstream|3749
7759.epics.C slit position|8.00
7764.epics.TimeStamp|Mon May 29 02
7766.epics.thermionic gun|-50.000
7824.epics.Radiator C|0.00
7875.epics.Halo L upstream|775
7922.epics.C slit position|-1.00
7943.epics.bpm_1_i|129.929
7963.epics.Master OR|23354592
7971.epics.Tagger dump L|0
8010.epics.Radiator C|0.00
8026.epics.Tagger dump L|0
8057.epics.C slit position|8.00
8070.epics.Tagger dump U|0
8102.epics.tagger current|2046.66
8163.epics.TimeStamp|Tue Jun 13 18
8171.epics.Radiator A|0.00
8177.epics.bpm_1_y|0.563
8196.epics.C slit position|-1.00
8200.epics.Halo U upstream|9931
8209.epics.tagger current|2046.66
8213.epics.Tagger dump R|0
8215.epics.bpm_2_y|0.000
8218.epics.Radiator A|1.00
8250.epics.B slit position|16.47
8253.epics.Radiator out|0
8273.epics.bpm_2_i|1.903
8302.epics.bpm_2_x|0.000
8312.epics.beam current|79.265
8341.epics.Radiator D|0.00
8412.epics.Halo D upstream|11403
8414.epics.beam energy|5653
8421.epics.bpm_1_i|75.736
8464.epics.bpm_1_x|-1.784
8527.epics.Radiator B|0.00
8544.epics.Tagger dump U|0
8620.epics.bpm_2_i|77.538
8642.epics.bpm_2_y|3.096
8644.epics.Tagger dump R|37267
8659.epics.TimeStamp|Thu Jul 27 04
8663.epics.Halo R upstream|2319
8674.epics.tagger current|2045.00
8533.timecorr|0.0143292733
7444.time|1093.77014
7655.time|1438.55981
8250.time|5707.11084
5023.comment|Trouble looking at events.... Reset , write to /data5 after this run 
5202.archive|mss
5262.trigger|Standard Data
5385.trigger|Standard Data
5580.size|99 Mb
6441.date|932383680
6624.comment|cosmics+harp scan spray
6676.archive|mss
6779.trigger|Standard Data
7240.date|958939800
7281.filename|r7281.evt
7378.archive|mss
7696.filename|r7696.evt
7807.size|1070.2 Mb
7978.trigger|Standard Data
8033.size|3.2 Mb
8158.size|4.7 Mb
8177.date|961002600
8231.filename|r8231.evt
8326.energy|5.65 GeV
8373.trigger|Standard Data
8402.comment|standard
8454.archive|mss
8649.date|964618080
8662.filename|r8662.evt
8684.size|307.2 Mb
7564.filename|r7564.evt
5109.archive|mss
7448.uconn.pvfs0.date|970627140
7659.uconn.pvfs0.date|970875600
7728.uconn.pvfs0.size|329848444
7906.hpss.size|829728000
7931.uconn.pvfs0.size|752221368
7963.hpss.date|970906740
8653.hpss.filename|r8653.evt
7784.hpss.filename|r7784.itape
7972.jlab.jcache.size|975437824
8332.uconn.pvfs1.date|972578820
8544.uconn.pvfs1.size|743211008
8084.uconn.pvfs0.size|0
8452.uconn.pvfs1.filename|r8452
7645.epics.bpm_1_i|0.050
7664.epics.TimeStamp|Sat May 27 04
7664.epics.thermionic gun|-50.000
7665.epics.tagger current|2046.66
7747.epics.bpm_2_i|130.448
7777.epics.Halo L upstream|75
7794.epics.beam current|0.040
7799.epics.Halo L upstream|65
7801.epics.Halo L upstream|69
7812.epics.Tagger dump U|0
7824.epics.Radiator B|1.00
7854.epics.beam energy|5653
7934.epics.Radiator D|0.00
7995.epics.beam energy|5653
8010.epics.Radiator B|1.00
8035.epics.Halo L upstream|0
8038.epics.beam current|0.007
8045.epics.bpm_2_i|0.000
8081.epics.Radiator D|0.00
8108.epics.TimeStamp|Sun Jun 11 11
8109.epics.tagger current|2046.66
8129.epics.beam energy|5653
8153.epics.beam current|129.718
8167.epics.Tagger dump U|0
8177.epics.bpm_1_x|-1.463
8188.epics.Radiator D|0.00
8203.epics.TimeStamp|Fri Jun 16 01
8214.epics.C slit position|-1.00
8215.epics.bpm_2_x|0.000
8226.epics.bpm_1_i|0.000
8260.epics.B slit position|16.38
8287.epics.Tagger dump L|6456
8301.epics.Helium pressure|0.59
8302.epics.bpm_2_y|0.000
8317.epics.A slit position|-1.00
8331.epics.Halo U upstream|10637
8357.epics.Tagger dump R|303375
8418.epics.Halo U upstream|10265
8464.epics.bpm_1_y|1.333
8496.epics.Radiator D|0.00
8527.epics.Radiator C|0.00
8530.epics.Halo D upstream|10029
8557.epics.Radiator D|0.00
8571.epics.bpm_2_i|77.151
8642.epics.bpm_2_x|3.425
8643.epics.C slit position|-1.00
8682.epics.Halo L upstream|1962
8705.epics.beam energy|5653
7449.timecorr|0.951295614
7658.timecorr|683.893066
7568.time|943.072754
7670.time|1524.25977
5016.energy|none
5157.trigger|Standard Data
5300.archive|mss
5576.comment|no beam 
5603.date|899144400
6250.filename|r6250.evt
6305.archive|mss
6466.trigger|Standard Data
6718.energy|5.5 GeV
6739.comment|prestart failed; empty
7213.filename|r7213.evt
7314.comment|DAQ freezing in strange ways--L1 LIVE not firing--beam data taken later in run had no problems after evaluations and fixings
7384.trigger|Standard Data
7676.archive|mss
7721.comment|
7749.filename|r7749.evt
7843.trigger|Standard Data
7861.date|959873280
7938.comment|
7986.date|960149640
8067.comment|cosmics
8142.filename|r8142.evt
8184.comment|Sniffer alarm went off during this run
8335.size|600.6 Mb
8428.trigger|Standard Data
8451.energy|none
8507.date|963688380
8595.filename|r8595.evt
8668.archive|mss + hpss
8696.filename|r8696.evt
8716.date|965114520
5125.comment|
7478.uconn.pvfs0.date|970672440
7706.uconn.pvfs0.date|970815660
8287.hpss.size|1134428160
8392.hpss.date|970995540
8625.uconn.pvfs1.date|971451120
8665.hpss.filename|r8665.evt
7955.jlab.scratch.filename|r7955.evt
8472.jlab.jcache.date|972575400
7517.uconn.pvfs0.date|972663240
8462.uconn.pvfs1.size|75831824
8628.uconn.pvfs1.filename|r8628
7651.epics.tagger current|2046.66
7666.epics.bpm_2_x|-0.596
7667.epics.TimeStamp|Sat May 27 06
7688.epics.bpm_2_x|-0.619
7689.epics.TimeStamp|Sat May 27 15
7708.epics.bpm_2_y|0.201
7794.epics.Halo R upstream|3928
7807.epics.C slit position|8.00
7812.epics.Tagger dump R|0
7842.epics.B slit position|17.00
7863.epics.Halo U upstream|10078
7916.epics.bpm_1_y|0.000
7921.epics.Halo L upstream|0
7927.epics.beam energy|5653
7934.epics.Radiator C|0.00
7979.epics.bpm_1_x|-1.442
7984.epics.Halo U upstream|10120
8033.epics.C slit position|8.00
8037.epics.Tagger dump L|0
8038.epics.Halo R upstream|0
8054.epics.Halo L upstream|0
8081.epics.Radiator C|0.00
8094.epics.Radiator A|0.00
8115.epics.B slit position|15.70
8138.epics.Halo U upstream|9910
8144.epics.bpm_1_i|131.983
8153.epics.Halo R upstream|917
8158.epics.C slit position|8.00
8167.epics.Tagger dump R|559317
8188.epics.Radiator C|0.00
8193.epics.beam energy|5653
8195.epics.Halo L upstream|689
8200.epics.TimeStamp|Thu Jun 15 19
8201.epics.bpm_2_x|-0.550
8220.epics.beam current|0.007
8249.epics.Master OR|33037768
8254.epics.tagger current|2046.66
8262.epics.bpm_2_y|0.142
8341.epics.Radiator B|0.00
8357.epics.Tagger dump U|0
8365.epics.Radiator out|0
8400.epics.A slit position|-1.00
8467.epics.Helium pressure|0.59
8481.epics.beam energy|5653
8496.epics.Radiator C|0.00
8505.epics.Halo U upstream|11196
8527.epics.Radiator D|0.00
8557.epics.Radiator C|0.00
8560.epics.Halo L upstream|885
8566.epics.beam energy|5653
8579.epics.bpm_1_i|75.756
8591.epics.Halo D upstream|9794
8593.epics.bpm_1_i|0.000
8680.epics.Tagger dump L|557
8684.epics.C slit position|-1.00
8690.epics.bpm_1_i|76.258
8692.epics.Halo D upstream|21542
8714.epics.Halo U upstream|597
epics.names|A slit position:beam current:beam energy:bpm_1_i:bpm_1_x:bpm_1_y:bpm_2_i:bpm_2_x:bpm_2_y:B slit position:C slit position:Halo D upstream:Halo L upstream:Halo R upstream:Halo U upstream:Helium pressure:Master OR:Radiator A:Radiator B:Radiator C:Radiator D:Radiator out:tagger current:Tagger dump L:Tagger dump R:Tagger dump U:tagger voltage:thermionic gun:TimeStamp
8452.timecorr|0.00144028489
7428.time|1346.53003
8357.time|5343.41455
4784.trigger|laser/ped/base
5043.comment| 
5051.archive|mss
5134.trigger|Standard Data
5151.size|223 Mb
5234.comment|Production Continuation at 45nA 
5240.archive|mss
5587.energy|4 GeV
5626.date|899233740
5681.filename|r5681.evt
6249.energy|5.5 GeV
6460.size|140.6 Mb
6609.date|932959620
6640.comment|bsd thresh 1340
6700.date|933266760
6728.trigger|Standard Data
6757.archive|mss
6763.filename|r6763.evt
7363.trigger|Standard Data
7382.size|539.1 Mb
7629.comment|
7730.trigger|Standard Data
7776.energy|5.65 GeV
7798.energy|5.65 GeV
7800.energy|5.65 GeV
7845.size|16.2 Mb
7904.filename|r7904.evt
7916.archive|mss
8034.energy|none
8072.trigger|no l3
8112.size|390.6 Mb
8383.comment|cosmics, and some tuning beam
8522.date|963783480
8546.trigger|Standard Data
8683.energy|5.65 GeV
7482.uconn.pvfs0.date|970773000
7612.uconn.pvfs0.size|335619584
8228.hpss.size|1129709568
8340.uconn.pvfs1.filename|r8340
8005.jlab.jcache.filename|r8005.evt
8438.jlab.jcache.filename|r8438.evt
8284.uconn.pvfs0.filename|r8284
8720.jlab.jcache.filename|r8720.evt
8269.jlab.jcache.size|63700992
8569.uconn.pvfs1.date|972610320
8587.uconn.pvfs1.date|972613980
8465.uconn.pvfs1.size|48492656
7656.epics.Halo D upstream|40522
7666.epics.bpm_2_y|0.211
7668.epics.A slit position|8.00
7679.epics.C slit position|8.00
7686.epics.A slit position|8.00
7688.epics.bpm_2_y|0.239
7693.epics.C slit position|8.00
7708.epics.bpm_2_x|-0.616
7824.epics.Radiator D|0.00
7839.epics.Halo U upstream|9734
7890.epics.B slit position|-1.00
7890.epics.tagger current|2046.66
7916.epics.bpm_1_x|0.000
